pedido_id;categoria_produto;nome_produto;preco_unitario;quantidade
6001;Livros;Biografia;1127,05;3,0
6001;Eletrônicos;Smartphone;3855,81;1,0
6002;Casa;Sofá;3017,38;1,0
6002;Casa;Aspirador de Pó;37,62;2,0
6002;Casa;Cadeira;762,73;3,0
6002;Esporte;Luvas;1770,88;2,0
6003;Eletrônicos;Notebook;1954,84;2,0
6003;Moda;Camiseta;4728,41;3,0
6003;Esporte;Bicicleta;1291,04;3,0
6003;Livros;Ficção Científica;3155,47;2,0
6004;Casa;Sofá;3743,63;3,0
6004;Moda;Calça Jeans;551,61;1,0
6004;Moda;Calça Jeans;1135,08;2,0
6004;Esporte;Bola de Futebol;2399,59;3,0
6005;Esporte;Bicicleta;4195,85;2,0
6006;Livros;Biografia;;2,0
6006;Moda;Jaqueta;4454,26;2,0
6006;Moda;Jaqueta;2239,15;2,0
6007;Casa;Sofá;4074,18;2,0
6008;Livros;Biografia;3430,17;3,0
6008;Moda;Tênis;4201,37;3,0
6008;Livros;Ficção Científica;2949,54;1,0
6008;Esporte;Luvas;3942,44;1,0
6009;Esporte;Luvas;2344,68;3,0
6009;Esporte;Tênis Esportivo;154,36;1,0
6010;Esporte;Luvas;2352,21;1,0
6011;Casa;Sofá;1773,14;2,0
6011;Eletrônicos;Smartphone;1605,94;2,0
6011;Moda;Calça Jeans;325,19;3,0
6012;Eletrônicos;Smartphone;2867,75;2,0
6013;Esporte;Tênis Esportivo;2010,19;3,0
6014;Moda;Calça Jeans;3731,98;3,0
6014;Livros;Biografia;1243,51;2,0
6014;Esporte;Tênis Esportivo;1252,63;1,0
6014;Moda;Calça Jeans;4709,19;2,0
6014;Eletrônicos;Smartphone;4312,65;1,0
6015;Esporte;Bola de Futebol;4281,67;3,0
6015;Eletrônicos;Smartphone;327,85;1,0
6015;Livros;Biografia;4127,63;1,0
6016;Casa;Sofá;4172,73;1,0
6017;Casa;Liquidificador;3423,75;2,0
6018;Moda;Jaqueta;3944,15;2,0
6018;Esporte;Luvas;410,21;3,0
6018;Livros;Autoajuda;2259,93;1,0
6018;Casa;Sofá;2570,28;3,0
6018;Eletrônicos; ;3611,12;3,0
6019;Esporte;Luvas;3365,94;2,0
6019;Casa;Aspirador de Pó;3549,6;1,0
6019;Livros;Ficção Científica;56726,22;2,0
6019;Casa;Cadeira;113,38;3,0
6019;Casa;Liquidificador;1402,85;1,0
6020;Moda;Camiseta;3658,08;3,0
6020;Moda;Jaqueta;2131,38;2,0
6021;Livros;Biografia;4195,73;3,0
6022;Casa;Sofá;898,43;1,0
6022;Eletrônicos;Fone de Ouvido;302,33;1,0
6023;Eletrônicos;Tablet;1899,2;2,0
6023;Esporte;Tênis Esportivo;2271,8;1,0
6024;Casa;Liquidificador;1289,05;3,0
6024;Casa;Cadeira;863,27;2,0
6025;Livros;Ficção Científica;43,23;2,0
6025;Casa;Cadeira;1431,67;1,0
6025;Moda;Calça Jeans;3921,96;2,0
6026;Livros;Romance;2700,23;3,0
6026;Esporte;Luvas;1571,17;2,0
6027;Livros;Romance;1042,82;1,0
6027;Livros;Romance;2542,25;248,0
6027;Eletrônicos;Notebook;1796,05;2,0
6027;Moda;Tênis;4506,49;2,0
6028;Casa; ;1765,83;3,0
6028;Casa;Cadeira;3199,35;3,0
6028;Eletrônicos;Tablet;2765,38;2,0
6029;Casa;Liquidificador;4049,96;3,0
6029;Livros;Romance;4585,87;3,0
6029;Esporte;Tênis Esportivo;1824,2;3,0
6030;Esporte;Luvas;1745,45;3,0
6031;Moda;Calça Jeans;4714,05;1,0
6031;Casa;Aspirador de Pó;1575,91;3,0
6032;Casa;Liquidificador;3669,73;1,0
6033;Eletrônicos;Fone de Ouvido;4334,76;1,0
6033;Livros;Ficção Científica;3526,78;1,0
6033;Livros;Ficção Científica;540,9;3,0
6033;Livros;Autoajuda;3730,48;1,0
