pedido_id;data_pedido;cliente_id;estado;cidade;forma_pagamento;entregue_no_prazo;valor_total
6001;2025-04-26;C6000;RJ;Rio de Janeiro;Boleto;Sim;7236,959999999999
6002;2025-04-28;C6001;BA;Salvador;Cartão de crédito;Sim;8922,57
6003;2025-02-04;C6002;PE;Recife;Cartão de crédito;Sim;28278,969999999998
6004;2025-04-24;C6003;BA;Salvador;Cartão de crédito;Sim;21251,43
6005;2025-02-21;C6004;AM;Parintins;Cartão de débito;Não;8391,7
6006;2025-02-09;C6005;RS;Porto Alegre;Cartão de débito;Não;13386,82
6007;2025-02-06;C6006;PR;Londrina;Cartão de débito;Sim;8148,36
6008;2025-02-13;C6007;PR;Curitiba;Cartão de crédito;Não;29786,600000000002
6009;2025-03-21;C6008;RJ;Niterói;Boleto;Não;7188,399999999999
6010;2025-01-18;C6009;SP;Santos;Pix;Sim;2352,21
6011;2025-04-09;C6010;PE;Recife;Boleto;Não;7733,73
6012;2024-12-20;C6011;BA;Vitória da Conquista;Cartão de crédito;Sim;5735,5
6013;2024-12-24;C6012;BA;Feira de Santana;Cartão de crédito;Sim;6030,57
6014;2025-02-18;C6013;RJ;Niterói;Boleto;Não;28666,620000000003
6015;2024-12-16;C6014;PR;Curitiba;Boleto;Não;17300,49
6016;2025-05-09;C6015;BA;Vitória da Conquista;Boleto;Sim;4172,73
6017;2025-04-08;C6016;MG;Contagem;Cartão de débito;Sim;6847,5
6018;2025-05-15;C6017;CE;Juazeiro do Norte;Boleto;Sim;29923,06
6019;2025-04-09;C6018;PR;Curitiba;Cartão de débito;Sim;125476,91
6020;2025-05-26;C6019;PR;Londrina;Boleto;Sim;15237,0
6021;2024-12-21;C6020;BA;Vitória da Conquista;Boleto;Sim;12587,189999999999
6022;2025-01-07;C6021;CE;Juazeiro do Norte;Pix;Sim;1200,76
6023;2025-02-14;C6022;RS;Porto Alegre;Cartão de débito;Não;6070,200000000001
6024;2025-03-03;C6023;PE;Caruaru;Pix;Não;5593,69
6025;2025-03-17;C6024;BA;Salvador;Pix;Sim;9362,05
6026;2025-01-10;C6025;SP;São Paulo;Cartão de débito;Sim;11243,03
6027;2025-05-09;C6026;PE;Caruaru;Cartão de crédito;Não;644125,8999999999
6028;2025-03-30;C6027;PE;Caruaru;Pix;Não;20426,3
6029;2025-05-21;C6028;AM;Manaus;Cartão de crédito;Não;31380,090000000004
6030;2025-03-04;C6029;PR;Curitiba;Boleto;Não;5236,35
6031;2025-02-18;C6030;MG;Uberlândia;Cartão de crédito;Não;9441,78
6032;2025-02-15;C6031;AM;Manaus;Cartão de crédito;Não;3669,73
6033;2025-03-12;C6032;AM;Itacoatiara;Cartão de débito;Sim;15889,940000000002
6034;2024-12-27;C6033;PR;Curitiba;Cartão de crédito;Não;14590,86
6035;2025-06-05;C6034;CE;Fortaleza;Cartão de crédito;Não;4635,22
6036;2025-01-18;C6035;RS;Porto Alegre;Cartão de crédito;Sim;35858,170000000006
6037;2024-12-27;C6036;RJ;Rio de Janeiro;Pix;Sim;3923,6299999999997
6038;2024-12-27;C6037;AM;Manaus;Cartão de débito;Não;33040,47
6039;2024-12-17;C6038;AM;Manaus;Boleto;Não;28001,21
6040;2025-03-23;C6039;BA;Vitória da Conquista;Cartão de débito;Não;26828,01
6041;2025-05-26;C6040;PE;Caruaru;Boleto;Não;15733,910000000002
6042;2025-02-27;C6041;AM;Parintins;Cartão de crédito;Sim;27942,179999999997
6043;2025-01-20;C6042;BA;Salvador;Boleto;Sim;3541,29
6044;2025-06-13;C6043;AM;Manaus;Cartão de débito;Sim;8318,42
6045;2025-01-31;C6044;RJ;Petrópolis;Cartão de crédito;Sim;9551,34
6046;2025-05-31;C6045;RJ;Rio de Janeiro;Boleto;Sim;22447,879999999997
6047;2025-05-14;C6046;AM;Manaus;Boleto;Não;7824,08
6048;2024-12-18;C6047;BA;Vitória da Conquista;Cartão de débito;Não;1095,17
6049;2025-02-17;C6048;BA;Feira de Santana;Pix;Sim;22392,63
6050;2025-03-25;C6049;RJ;Rio de Janeiro;Pix;Não;11625,54
6051;2025-05-08;C6050;PE;Olinda;Pix;Sim;297749,9
6052;2025-04-04;C6051;RJ;Rio de Janeiro;Pix;Não;30445,39
6053;2025-04-20;C6052;RJ;Rio de Janeiro;Cartão de débito;Sim;16983,5
6054;2025-03-26;C6053;AM;Parintins;Cartão de débito;Não;1593,36
6055;2025-03-28;C6054;MG;Uberlândia;Pix;Sim;18862,98
6056;2025-02-01;C6055;RJ;Niterói;Cartão de crédito;Sim;36788,130000000005
